Automation License Manager,V6.0 + SP4 + Upd1,06.00.04.01_01.01.00.04,K6.0.4.1,
S7-PLCSIM  ,V5.4 + SP8,V05.04.08.01_01.24.00.01,K5.4.8.1,
SIMATIC ProSave,V15.1,V15.01.00.00_28.01.00.01,V15.01.00.00,
SIMATIC S7-Block Privacy,V1.0 + SP4,K1.0.4.0_9.1.0.1,K1.0.4.0,
S7-PCT,V3.4 + HF2,K03.04.00.02_01.11.00.01,K3.4.0.2,
SIMATIC S7-SCL,V5.6,V5.6.0.0_11.1.0.1,V5.6.0.0,
SINEMA RC Client,V2.0 + HF1,V2.0.0.1-01.01.00.22,V02.00.00.01,
STARTER,V4.5.1.0,V04.05.01.00_04.50.41.00,V4.5.1.0,
STEP 7,V5.6,V5.6.0.0_30.4.0.3,V5.6.0.0,
SIMATIC S7-Web2PLC,V1.0 + SP3,K1.0.3.0_8.1.0.1,K1.0.3.0,
Automation Access Control Component,4.0,K04.00.01.00_01.01.00.01,---,
Automation Software Updater,02.04.0000,V02.04.00.00_01.12.00.05,---,
SIMATIC Colour Editor,5.2.2.0,K5.2.2.0_2.1.0.1,---,
dcblibv2_0_sinamics2_5_1,02.50.32.09,V02.50.32.09,---,
dcblibv3_0_sinamics4_5,04.50.06.00,V04.50.06.00,---,
dcblibv3_0_sinamics4_6,04.60.07.00,V04.60.07.00,---,
dcblibv3_0_sinamics4_7,04.70.08.00,V04.70.08.00,---,
DCC-Editor SINAMICS Shared,2.4.1.0,V02.04.01.00_04.50.41.00,---,
DCC-Help System Shared,2.4.1.0,V02.04.01.00_04.50.41.00,---,
Drive ES SlaveOM,5.10.1.0,V05.10.01.00_04.50.41.00,---,
License Logon Interface,4.0,K04.00.03.00_01.01.00.02,---,
SIEMENS OPC,3.9,03.09.08.00_01.07.00.01,---,
SIMATIC PLCSIM Advanced SimRT,2.0.1.0,V02.00.01.00_28.01.00.01,---,
SIMATIC HMI ProSave,15.1.0.0,V15.01.00.00_28.01.00.01,---,
SIMATIC HMI Symbol Library,15.1.0.0,V15.01.00.00_28.01.00.01,---,
SIMATIC HMI Touch Input,15.1.0.0,V15.01.00.00_28.01.00.01,---,
SIMATIC Version View,1.7.11.0,K1.7.11.0_6.1.0.2,---,
SIMATIC Common Services,5.3.15.0,K5.3.15.0_1.1.0.1,---,
SIMATIC Device Drivers WoW,29.2,29.02.01.01_01.01.00.01,---,
SIMATIC Event Database,5.6,05.06.01.00_02.01.00.01,---,
SIMATIC GSD CONTROL,3.5.7.0,K3.5.7.0_2.1.0.1,---,
SIMATIC GSD Interpreter,2.6.0.0,V2.6.0.0_8.1.0.1,---,
SIMATIC Interface Editor,5.4.19.0,K5.4.19.0_1.1.0.1,---,
SIMATIC Extended Interfaces,5.4.7.0,K5.4.7.0_2.1.0.1,---,
SIMATIC LanguageSupportTool,5.8.4.0,K5.8.4.0_2.1.0.1,---,
SIMATIC Condition Editor,5.4.13.0,K5.4.13.0_1.1.0.1,---,
SIMATIC NCM,5.6.0.0,V5.6.0.0_30.4.0.3,---,
SIMATIC Process Diagnosis Base,5.3.13.0,K5.3.13.0_1.1.0.1,---,
SIMATIC Process Diagnosis Database,5.3.6.3,K05.03.06.03_01.01.00.01,---,
SIMATIC DIAGNOSTIC REPEATER GUI CTRL,5.2.3.0,K5.2.3.0_1.1.0.1,---,
SIMATIC Grid Control,2.6.0.0,V2.6.0.0_2.1.0.1,---,
SIMATIC S7-Status-OCX,5.3.12.0,K5.3.12.0_2.1.0.1,---,
SIMATIC Technological Parameter Assignment,5.3.12.0,K5.3.12.0_3.1.0.1,---,
SIMATIC X-Ref Control,5.2.8.0,K5.2.8.0_2.2.0.1,---,
SIMATIC STEP 7 Help Viewer,1.0.2.0,K1.0.2.0_1.1.0.2,---,
SIMATIC SCL Compiler,5.6.0.0,V5.6.0.0_11.1.0.1,---,
SCOUT STARTER Components,4.5.1.0,V04.05.01.00_04.50.41.00,---,
SeCon,2.5,V02.05.01.01_01.01.00.02,---,
SIMOTION DeviceOM,4.16.1.0,V04.16.01.00_04.50.41.00,---,
SIMOTION OM,4.5.1.0,V04.05.01.00_04.50.41.00,---,
SSP SINAMICS G120P BT V4.4 SP1,04.41.20.02,V04.40.30.00_11.11.04.00,---,
SSP SINAMICS G120P BT V4.6,04.60.10.01,V04.60.21.03_14.04.02.00,---,
SSP SINAMICS G120P BT V4.7,04.70.10.00,V04.70.35.00_19.10.00.00,---,
SSP SINAMICS G120P BT V4.7 SP3,04.73.10.00,V04.70.64.00_19.46.00.00,---,
SSP SINAMICS G120P BT V4.7 SP6,04.76.10.01,V04.70.83.00_19.66.05.00,---,
WinCC Runtime Advanced Simulator,15.1.0.0,V15.01.00.00_28.01.00.01,---,
